name,year,km,price
"
                        BMW X5 3.0i                    ",2015,   96000 Kms. · Quito                 ,"
                         57.500
                        "
"
                        Great Wall WINGLE 5                    ",2017,   111000 Kms. · Quito                 ,"
                         16.000
                        "
"
                        Ford F150 SC 4X2                    ",2012,   226500 Kms. · Quito                 ,"
                         22.500
                        "
"
                        Volkswagen Touareg                    ",2009,   170000 Kms. · Quito                 ,"
                         19.900
                        "
"
                        Kia PICANTO LX                    ",2019,   44000 Kms. · Quito                 ,"
                         14.700
                        "
"
                        Kia Picanto R                    ",2019,   44000 Kms. · Quito                 ,"
                         14.700
                        "
"
                        Kia Picanto R                    ",2019,   44000 Kms. · Quito                 ,"
                         14.700
                        "
"
                        Chevrolet Silverado                    ",2002,   261000 Kms. · Quito                 ,"
                         12.300
                        "
"
                        Jetour X70 I MT 1.5T                    ",2023,   0 Kms. · Quito                 ,"
                         22.490
                        "
"
                        Jetour X70 I MT 1.5T                    ",2023,   0 Kms. · Quito                 ,"
                         22.490
                        "
"
                        BMW 120i                    ",2006,   128000 Kms. · Quito                 ,"
                         16.900
                        "
"
                        BMW Z4                    ",2007,   64000 Kms. · Quito                 ,"
                         42.900
                        "
"
                        Ford Explorer XLT                    ",2015,   170000 Kms. · Quito                 ,"
                         28.500
                        "
"
                        Chevrolet Beat                    ",2020,   39500 Kms. · Quito                 ,"
                         13.500
                        "
"
                        Ford Expedition                    ",2007,   134000 Kms. · Quito                 ,"
                         20.800
                        "
"
                        Kia Sportage Europa                    ",2020,   32000 Kms. · Quito                 ,"
                         28.800
                        "
"
                        Mercedes Benz C300                    ",2008,   145000 Kms. · Quito                 ,"
                         27.900
                        "
"
                        Hyundai Tucson                    ",2011,   150000 Kms. · Quito                 ,"
                         15.900
                        "
"
                        Jeep Compass Trailhawk                    ",2018,   40000 Kms. · Quito                 ,"
                         33.000
                        "
"
                        Nissan X-Trail                    ",2007,   229234 Kms. · Quito                 ,"
                         9.900
                        "
"
                        Mercedes Benz E320                    ",2004,   150000 Kms. · Quito                 ,"
                         16.500
                        "
"
                        Land Rover Range Rover                    ",2008,   161000 Kms. · Quito                 ,"
                         43.500
                        "
"
                        Volkswagen New Jetta                    ",2018,   47000 Kms. · Quito                 ,"
                         20.700
                        "
"
                        Ford Expedition Eddie Bauer                    ",2010,   80000 Kms. · Quito                 ,"
                         32.000
                        "
"
                        BMW X5 XDRIVE 50i                    ",2011,   62000 Kms. · Quito                 ,"
                         41.500
                        "
"
                        BMW X5 4.4i                    ",2011,   62000 Kms. · Quito                 ,"
                         41.500
                        "
"
                        Chevrolet Grand Vitara 5p 4x2                    ",2014,   133000 Kms. · Quito                 ,"
                         14.800
                        "
"
                        Suzuki Grand Vitara 5P                    ",2014,   133000 Kms. · Quito                 ,"
                         14.800
                        "
"
                        Mercedes Benz 280                    ",1979,   252000 Kms. · Quito                 ,"
                         9.800
                        "
"
                        Skoda Fabia                    ",2009,   240000 Kms. · Quito                 ,"
                         8.900
                        "
"
                        BMW X6 xDRIVE 35i                    ",2017,   40000 Kms. · Quito                 ,"
                         120.000
                        "
"
                        Chevrolet Beat                    ",2019,   106500 Kms. · Quito                 ,"
                         12.500
                        "
"
                        Toyota Fortuner 2.7                    ",2019,   45000 Kms. · Quito                 ,"
                         45.500
                        "
"
                        Toyota Yaris                    ",2018,   61000 Kms. · Quito                 ,"
                         17.600
                        "
"
                        Chevrolet Captiva Sport                    ",2016,   105000 Kms. · Quito                 ,"
                         16.900
                        "
"
                        Toyota Yaris Sport                    ",2018,   61000 Kms. · Quito                 ,"
                         17.600
                        "
"
                        Kia Rio LX AC                    ",2020,   30000 Kms. · Quito                 ,"
                         18.500
                        "
"
                        Kia RIO LX                    ",2020,   30000 Kms. · Quito                 ,"
                         18.500
                        "
"
                        Kia Rio                    ",2020,   30000 Kms. · Quito                 ,"
                         18.500
                        "
"
                        Volkswagen Gol Power                    ",2009,   226213 Kms. · Quito                 ,"
                         9.900
                        "
"
                        Kia Stinger GT Line                    ",2020,   24000 Kms. · Quito                 ,"
                         56.900
                        "
"
                        Toyota Fortuner 2.7                    ",2011,   186000 Kms. · Quito                 ,"
                         24.900
                        "
"
                        Audi Q5                    ",2018,   41000 Kms. · Quito                 ,"
                         56.500
                        "
"
                        Land Rover Range Rover Sport                    ",2008,   161000 Kms. · Quito                 ,"
                         43.500
                        "
"
                        BMW 128i                    ",2008,   98000 Kms. · Quito                 ,"
                         31.900
                        "
"
                        Porsche Cayenne S Hybrid                    ",2011,   138000 Kms. · Quito                 ,"
                         57.000
                        "
"
                        Chevrolet Spark GT                    ",2018,   100005 Kms. · Quito                 ,"
                         11.250
                        "
"
                        Mercedes Benz C320                    ",2003,   200000 Kms. · Quito                 ,"
                         15.900
                        "
"
                        Mercedes Benz C320 T                    ",2003,   200000 Kms. · Quito                 ,"
                         15.900
                        "
"
                        Toyota Fortuner 4.0                    ",2020,   70000 Kms. · Quito                 ,"
                         56.900
                        "
"
                        Zotye Z560                    ",2018,   42000 Kms. · Quito                 ,"
                         13.500
                        "
"
                        Kia Grand Carnival                    ",2016,   97329 Kms. · Quito                 ,"
                         28.500
                        "
"
                        Chevrolet Aveo Activo                    ",2011,   181000 Kms. · Quito                 ,"
                         9.500
                        "
"
                        Chevrolet Grand Vitara 5p 4x2                    ",2008,   177096 Kms. · Quito                 ,"
                         12.900
                        "
"
                        Chevrolet N300                    ",2017,   180084 Kms. · Quito                 ,"
                         10.900
                        "
"
                        Zotye T600                    ",2017,   58000 Kms. · Quito                 ,"
                         14.250
                        "
"
                        Mazda CX-5 Full                    ",2021,   48000 Kms. · Quito                 ,"
                         46.000
                        "
"
                        Chevrolet Grand Vitara 3P                    ",2002,   270000 Kms. · Quito                 ,"
                         9.500
                        "
"
                        Chery TIGGO 2 PRO                    ",2023,   0 Kms. · Quito                 ,"
                         18.600
                        "
"
                        Volkswagen Golf GTI                    ",2009,   155000 Kms. · Quito                 ,"
                         25.900
                        "
"
                        Hyundai Santa Fe Diesel                    ",2009,   233000 Kms. · Quito                 ,"
                         11.500
                        "
"
                        Toyota 4 Runner SR5                    ",2019,   27200 Kms. · Quito                 ,"
                         84.500
                        "
"
                        Chevrolet Trailblazer                    ",2002,   174726 Kms. · Quito                 ,"
                         8.900
                        "
"
                        Toyota Tercel                    ",1998,   320000 Kms. · Quito                 ,"
                         6.700
                        "
"
                        Hyundai Creta                    ",2019,   43448 Kms. · Quito                 ,"
                         21.500
                        "
"
                        Peugeot 207 Compact                    ",2009,   179000 Kms. · Quito                 ,"
                         8.700
                        "
"
                        Chevrolet Cavalier                    ",2019,   75700 Kms. · Quito                 ,"
                         16.900
                        "
"
                        Kia Sportage R                    ",2018,   80000 Kms. · Quito                 ,"
                         23.500
                        "
"
                        JAC T8                    ",2023,   1 Kms. · Quito                 ,"
                         31.990
                        "
"
                        Kia SPORTAGE SL                    ",2019,   45890 Kms. · Quito                 ,"
                         24.000
                        "
"
                        Kia Stonic                    ",2021,   20187 Kms. · Quito                 ,"
                         19.500
                        "
"
                        Hyundai Tucson IX                    ",2011,   135000 Kms. · Quito                 ,"
                         16.500
                        "
"
                        JMC Camio 3.5 toneladas                    ",2022,   4330 Kms. · Quito                 ,"
                         21.900
                        "
"
                        Ford Edge                    ",2019,   46000 Kms. · Quito                 ,"
                         42.000
                        "
"
                        Fiat 500 LOUNGE                    ",2020,   18060 Kms. · Quito                 ,"
                         18.700
                        "
"
                        Kia PICANTO LX                    ",2019,   99000 Kms. · Quito                 ,"
                         12.900
                        "
"
                        Chevrolet Aveo Family                    ",2017,   141996 Kms. · Quito                 ,"
                         9.900
                        "
"
                        Hyundai Creta                    ",2020,   40000 Kms. · Quito                 ,"
                         22.900
                        "
"
                        Chevrolet Esteem                    ",2001,   297000 Kms. · Quito                 ,"
                         6.200
                        "
"
                        Volkswagen Spacefox                    ",2007,   157000 Kms. · Quito                 ,"
                         9.500
                        "
"
                        Chevrolet Equinox                    ",2018,   98000 Kms. · Quito                 ,"
                         22.000
                        "
"
                        Hyundai Ioniq Hybrid                    ",2018,   92000 Kms. · Quito                 ,"
                         17.800
                        "
"
                        Chevrolet Aveo Family                    ",2016,   67200 Kms. · Quito                 ,"
                         10.900
                        "
"
                        Nissan Versa                    ",2014,   69000 Kms. · Quito                 ,"
                         12.800
                        "
"
                        Mahindra Kuv 100 NXT                    ",2020,   33000 Kms. · Quito                 ,"
                         11.500
                        "
"
                        Great Wall Wingle 4x4 Diesel CD Pick Up                    ",2018,   189000 Kms. · Quito                 ,"
                         21.000
                        "
"
                        Great Wall Wingle 4x4 Diesel CD Pick Up                    ",2018,   166000 Kms. · Quito                 ,"
                         21.000
                        "
"
                        Fiat 500 Sport                    ",2020,   24000 Kms. · Quito                 ,"
                         20.300
                        "
"
                        Changan CS 55                    ",2019,   60000 Kms. · Quito                 ,"
                         20.500
                        "
"
                        Changan HUNTER                    ",2022,   18000 Kms. · Quito                 ,"
                         23.500
                        "
"
                        Chevrolet Aveo Family                    ",2018,   159000 Kms. · Quito                 ,"
                         11.100
                        "
"
                        Citroen Berlingo                    ",2018,   92000 Kms. · Quito                 ,"
                         18.800
                        "
"
                        Chevrolet D-MAX CRDI AC 3.0 CD 4X4 TM DIESEL                    ",2019,   132000 Kms. · Quito                 ,"
                         30.800
                        "
"
                        Chevrolet Aveo Family                    ",2019,   93000 Kms. · Quito                 ,"
                         12.500
                        "
"
                        Chevrolet Aveo Family                    ",2019,   90000 Kms. · Quito                 ,"
                         12.500
                        "
"
                        Honda Pilot                    ",2018,   55000 Kms. · Quito                 ,"
                         56.000
                        "
"
                        Toyota Hilux                    ",2023,   85 Kms. · Quito                 ,"
                         35.900
                        "
"
                        Hyundai Santa Fe                    ",2014,   109000 Kms. · Quito                 ,"
                         25.900
                        "
"
                        Nissan NP300                    ",2010,   325000 Kms. · Quito                 ,"
                         12.500
                        "
"
                        Peugeot 301                    ",2019,   38500 Kms. · Quito                 ,"
                         15.700
                        "
"
                        Toyota NEW RAV 4                    ",2020,   39000 Kms. · Quito                 ,"
                         37.400
                        "
"
                        Jeep Grand Cherokee Laredo                    ",2014,   84600 Kms. · Quito                 ,"
                         34.500
                        "
"
                        Ford Explorer XLT                    ",2005,   339000 Kms. · Quito                 ,"
                         10.900
                        "
"
                        Ford Escape                    ",2010,   215300 Kms. · Quito                 ,"
                         12.900
                        "
"
                        Chevrolet N200                    ",2012,   132000 Kms. · Quito                 ,"
                         8.900
                        "
"
                        Toyota Fortuner 2.7                    ",2010,   295000 Kms. · Quito                 ,"
                         21.900
                        "
"
                        Renault Duster 1.6                    ",2018,   70000 Kms. · Quito                 ,"
                         16.500
                        "
"
                        BMW X1                    ",2017,   52500 Kms. · Quito                 ,"
                         46.000
                        "
"
                        Kia Soul                    ",2020,   62159 Kms. · Quito                 ,"
                         19.200
                        "
"
                        Mazda CX-3 ENTRY                    ",2017,   75342 Kms. · Quito                 ,"
                         20.700
                        "
"
                        Kia SPORTAGE R LX 2.0                    ",2019,   55000 Kms. · Quito                 ,"
                         23.900
                        "
"
                        Dodge Ram 2500                    ",2008,   76771 Kms. · Quito                 ,"
                         26.900
                        "
"
                        Mazda 3                    ",2017,   43000 Kms. · Quito                 ,"
                         21.900
                        "
"
                        Nissan Murano                    ",2010,   60000 Kms. · Quito                 ,"
                         19.600
                        "
"
                        Chevrolet N300 MAX CARGO 1.2L TM AC                    ",2015,   194000 Kms. · Quito                 ,"
                         9.500
                        "
"
                        Chevrolet D-MAX CRDI 3.0 4X2 AC                    ",2019,   56000 Kms. · Quito                 ,"
                         25.500
                        "
"
                        Mazda CX-3 ENTRY                    ",2017,   80400 Kms. · Quito                 ,"
                         19.900
                        "
"
                        Chevrolet LUV D-MAX                    ",2006,   144129 Kms. · Quito                 ,"
                         13.500
                        "
"
                        Changan HUNTER                    ",2022,   11500 Kms. · Quito                 ,"
                         23.500
                        "
"
                        Ford Sport Track                    ",2011,   143990 Kms. · Quito                 ,"
                         18.000
                        "
"
                        Jeep Compass                    ",2016,   74700 Kms. · Quito                 ,"
                         22.000
                        "
"
                        Kia SPORTAGE SL                    ",2019,   55000 Kms. · Quito                 ,"
                         23.900
                        "
"
                        Suzuki S-Cross                    ",2019,   57000 Kms. · Quito                 ,"
                         19.700
                        "
"
                        JMC JX1043DL2TM                    ",2008,   65711 Kms. · Quito                 ,"
                         11.500
                        "
"
                        Volvo 940 Turbo                    ",1993,   228800 Kms. · Quito                 ,"
                         5.900
                        "
"
                        Audi Q5                    ",2011,   141600 Kms. · Quito                 ,"
                         24.900
                        "
"
                        BMW 740i                    ",1998,   178000 Kms. · Quito                 ,"
                         14.900
                        "
"
                        Nissan X-Trail Classic                    ",2011,   215000 Kms. · Quito                 ,"
                         13.236
                        "
"
                        BMW X5 xDrive35i                    ",2015,   96000 Kms. · Quito                 ,"
                         57.500
                        "
"
                        DongFeng funvan                    ",2015,   197000 Kms. · Quito                 ,"
                         8.000
                        "
"
                        Volkswagen Golf GTI                    ",2013,   57000 Kms. · Quito                 ,"
                         29.500
                        "
"
                        Chevrolet Aveo Family                    ",2018,   159000 Kms. · Quito                 ,"
                         11.100
                        "
"
                        Ford Fusion                    ",2014,   109500 Kms. · Quito                 ,"
                         19.900
                        "
"
                        JAC T6                    ",2022,   35700 Kms. · Quito                 ,"
                         21.900
                        "
"
                        Volkswagen Golf GTI                    ",2013,   64000 Kms. · Quito                 ,"
                         29.500
                        "
"
                        Suzuki GRAN VITARA SZ NEXT                    ",2017,   138000 Kms. · Quito                 ,"
                         16.800
                        "
"
                        Chery Arrizo 5                    ",2022,   10000 Kms. · Quito                 ,"
                         14.900
                        "
"
                        Nissan Sentra                    ",2011,   430000 Kms. · Quito                 ,"
                         13.900
                        "
"
                        Ford Explorer                    ",2014,   183691 Kms. · Quito                 ,"
                         25.200
                        "
"
                        Kia PICANTO LX                    ",2021,   51123 Kms. · Quito                 ,"
                         14.200
                        "
"
                        Chevrolet LUV D-MAX V6 4X2 CD TA                    ",2008,   155209 Kms. · Quito                 ,"
                         12.000
                        "
"
                        Kia Sorento                    ",2017,   80195 Kms. · Quito                 ,"
                         29.900
                        "
"
                        Nissan Pathfinder                    ",2002,   187000 Kms. · Quito                 ,"
                         11.500
                        "
"
                        Porsche Cayenne                    ",2005,   142000 Kms. · Quito                 ,"
                         24.800
                        "
"
                        BMW 328i                    ",2008,   175000 Kms. · Quito                 ,"
                         19.900
                        "
"
                        Suzuki Grand Vitara SZ                    ",2012,   199000 Kms. · Quito                 ,"
                         11.900
                        "
"
                        DFSK GLORY 580                    ",2022,   11400 Kms. · Quito                 ,"
                         21.000
                        "
"
                        Kia Cerato Forte                    ",2010,   108537 Kms. · Quito                 ,"
                         12.500
                        "
"
                        Kia PICANTO LX                    ",2019,   33700 Kms. · Quito                 ,"
                         13.200
                        "
"
                        Jetour X70 II MT 1.5T                    ",2023,   0 Kms. · Quito                 ,"
                         25.490
                        "
"
                        Dacia Supernova Confort                    ",2001,   213900 Kms. · Quito                 ,"
                         5.000
                        "
"
                        Kia Optima                    ",2014,   117180 Kms. · Quito                 ,"
                         15.900
                        "
"
                        Toyota Yaris                    ",2006,   250135 Kms. · Quito                 ,"
                         5.900
                        "
"
                        Volkswagen Voyage                    ",2016,   227000 Kms. · Quito                 ,"
                         11.900
                        "
"
                        Renault Megane                    ",2005,   111 Kms. · Quito                 ,"
                         6.900
                        "
"
                        Kia SPORTAGE R GTI                    ",2017,   67850 Kms. · Quito                 ,"
                         26.700
                        "
"
                        Karry Acteco Dohc                    ",2023,   0 Kms. · Quito                 ,"
                         13.990
                        "
"
                        Toyota Tundra                    ",2012,   130000 Kms. · Quito                 ,"
                         44.900
                        "
"
                        Mitsubishi Eclipse                    ",2013,   53108 Kms. · Quito                 ,"
                         32.800
                        "
"
                        Mahindra Pick UP CD                    ",2019,   28000 Kms. · Quito                 ,"
                         19.200
                        "
"
                        Fiat Fiorino Fire                    ",2009,   240000 Kms. · Quito                 ,"
                         6.000
                        "
"
                        Audi A4 1.8T                    ",2002,   158000 Kms. · Quito                 ,"
                         11.000
                        "
"
                        Toyota 4 Runner                    ",1994,   110620 Kms. · Quito                 ,"
                         16.500
                        "
"
                        Kia Stonic                    ",2021,   50000 Kms. · Quito                 ,"
                         18.500
                        "
"
                        Mercedes Benz A 200                    ",2020,   19500 Kms. · Quito                 ,"
                         47.900
                        "
"
                        Kia Stonic                    ",2021,   31132 Kms. · Quito                 ,"
                         19.500
                        "
"
                        Kia Sorento                    ",2018,   30000 Kms. · Quito                 ,"
                         35.000
                        "
"
                        Nissan Pathfinder                    ",2006,   196700 Kms. · Quito                 ,"
                         16.900
                        "
"
                        Nissan X-Trail                    ",2014,   170000 Kms. · Quito                 ,"
                         17.000
                        "
"
                        Hyundai Creta                    ",2019,   98700 Kms. · Quito                 ,"
                         21.500
                        "
"
                        Kia PICANTO LX                    ",2019,   63000 Kms. · Quito                 ,"
                         12.200
                        "
"
                        Renault captur                    ",2022,   24518 Kms. · Quito                 ,"
                         23.500
                        "
"
                        Chevrolet Sail                    ",2015,   48500 Kms. · Quito                 ,"
                         11.990
                        "
"
                        Peugeot 3008                    ",2020,   28000 Kms. · Quito                 ,"
                         40.800
                        "
"
                        Chevrolet Captiva Premier                    ",2021,   19078 Kms. · Quito                 ,"
                         24.500
                        "
"
                        Kia Rio Stylus                    ",2007,   226301 Kms. · Quito                 ,"
                         7.900
                        "
"
                        Hyundai Grand Santa Fe                    ",2019,   32000 Kms. · Quito                 ,"
                         35.000
                        "
"
                        Ford Explorer                    ",2008,   145000 Kms. · Quito                 ,"
                         13.500
                        "
"
                        Ford Explorer                    ",1998,   522222 Kms. · Quito                 ,"
                         4.900
                        "
"
                        Fiat Uno                    ",1989,   355100 Kms. · Quito                 ,"
                         3.900
                        "
"
                        Gac GS7                    ",2020,   11000 Kms. · Quito                 ,"
                         29.900
                        "
"
                        Kia Rio Stylus                    ",2013,   198213 Kms. · Quito                 ,"
                         8.800
                        "
"
                        Chevrolet Tahoe Híbrido                    ",2010,   109200 Kms. · Quito                 ,"
                         23.777
                        "
"
                        Chevrolet Captiva Premier                    ",2020,   69755 Kms. · Quito                 ,"
                         23.000
                        "
"
                        Volkswagen Kombi                    ",1996,   38035 Kms. · Quito                 ,"
                         6.900
                        "
"
                        Chevrolet Trailblazer                    ",2002,   230000 Kms. · Quito                 ,"
                         8.900
                        "
"
                        Toyota NEW RAV4 AC 2.0 5P                    ",2014,   147000 Kms. · Quito                 ,"
                         22.700
                        "
"
                        Chevrolet Grand Vitara 3P                    ",2009,   200000 Kms. · Quito                 ,"
                         11.500
                        "
"
                        Volkswagen GOL 1.6                    ",2012,   130000 Kms. · Quito                 ,"
                         10.900
                        "
"
                        Toyota Yaris                    ",2019,   33770 Kms. · Quito                 ,"
                         19.700
                        "
"
                        Kia Soul                    ",2017,   69000 Kms. · Quito                 ,"
                         16.400
                        "
"
                        Kia Sorento                    ",2022,   25430 Kms. · Quito                 ,"
                         52.990
                        "
"
                        Kia Carnival                    ",2016,   104000 Kms. · Quito                 ,"
                         29.700
                        "
"
                        Kia Stonic                    ",2022,   10963 Kms. · Quito                 ,"
                         20.000
                        "
"
                        BMW X3 3.0i                    ",2006,   151760 Kms. · Quito                 ,"
                         16.000
                        "
"
                        Suzuki S-Cross                    ",2019,   51000 Kms. · Quito                 ,"
                         18.500
                        "
"
                        Chevrolet Cavalier                    ",2018,   38000 Kms. · Quito                 ,"
                         15.900
                        "
"
                        Kia PICANTO LX                    ",2021,   59296 Kms. · Quito                 ,"
                         13.700
                        "
"
                        Kia Sportage R                    ",2018,   106569 Kms. · Quito                 ,"
                         22.500
                        "
"
                        Toyota Land Cruiser                    ",2002,   239000 Kms. · Quito                 ,"
                         42.500
                        "
"
                        Chevrolet Sail                    ",2014,   104000 Kms. · Quito                 ,"
                         9.800
                        "
"
                        Hyundai Getz                    ",2011,   169000 Kms. · Quito                 ,"
                         10.300
                        "
"
                        Great Wall WINGLE 7 2.0 CD 4X4 DIESEL                    ",2022,   55000 Kms. · Quito                 ,"
                         25.900
                        "
"
                        Hyundai Verna                    ",2020,   26000 Kms. · Quito                 ,"
                         14.999
                        "
"
                        Nissan X-Trail Sense                    ",2019,   43000 Kms. · Quito                 ,"
                         29.900
                        "
"
                        Chevrolet Grand Vitara 5p 4x2                    ",2013,   118600 Kms. · Quito                 ,"
                         13.600
                        "
"
                        Toyota Land Cruiser 100                    ",2007,   197000 Kms. · Quito                 ,"
                         46.300
                        "
"
                        Chevrolet N300                    ",2015,   87000 Kms. · Quito                 ,"
                         8.900
                        "
"
                        Chevrolet Vitara 3P                    ",2009,   172000 Kms. · Quito                 ,"
                         10.900
                        "
"
                        GMC 1500                    ",1979,   500000 Kms. · Quito                 ,"
                         8.800
                        "
"
                        Suzuki S-Cross                    ",2018,   55000 Kms. · Quito                 ,"
                         18.000
                        "
"
                        Hyundai Tucson                    ",2019,   24000 Kms. · Quito                 ,"
                         28.250
                        "
"
                        Volvo XC40 Kinetic                    ",2019,   59900 Kms. · Quito                 ,"
                         44.800
                        "
"
                        Jeep Grand Cherokee Laredo                    ",2013,   111500 Kms. · Quito                 ,"
                         33.700
                        "
"
                        Mitsubishi Montero 3P                    ",1986,   150000 Kms. · Quito                 ,"
                         5.400
                        "
"
                        Mazda CX-9                    ",2019,   86000 Kms. · Quito                 ,"
                         55.400
                        "
"
                        Chevrolet N300 MAX CARGO 1.2L TM AC                    ",2018,   112000 Kms. · Quito                 ,"
                         11.800
                        "
"
                        Toyota Starlet                    ",1992,   275000 Kms. · Quito                 ,"
                         9.800
                        "
"
                        Hyundai Ioniq Limited                    ",2019,   32000 Kms. · Quito                 ,"
                         21.000
                        "
"
                        Volkswagen Jetta Trendline TA                    ",2011,   189000 Kms. · Quito                 ,"
                         10.890
                        "
"
                        Volkswagen Jetta                    ",2011,   189000 Kms. · Quito                 ,"
                         10.890
                        "
"
                        Volkswagen New Jetta                    ",2014,   86000 Kms. · Quito                 ,"
                         16.800
                        "
"
                        Ssangyong Korando Sport                    ",2019,   45000 Kms. · Quito                 ,"
                         19.900
                        "
"
                        Kia Picanto GT Limited                    ",2019,   40000 Kms. · Quito                 ,"
                         14.290
                        "
"
                        Toyota Yaris Sport                    ",2020,   23743 Kms. · Quito                 ,"
                         19.000
                        "
"
                        Volvo S60                    ",2003,   146023 Kms. · Quito                 ,"
                         10.200
                        "
"
                        BMW X5 50i                    ",2011,   130000 Kms. · Quito                 ,"
                         39.800
                        "
"
                        Toyota 4 Runner SR5                    ",2013,   160000 Kms. · Quito                 ,"
                         48.000
                        "
"
                        Jeep Wrangler Sport                    ",2016,   60000 Kms. · Quito                 ,"
                         57.800
                        "
"
                        Mini Austin Pick Up                    ",1970,   1000 Kms. · Quito                 ,"
                         11.900
                        "
"
                        Mercedes Benz GLA 180                    ",2020,   16700 Kms. · Quito                 ,"
                         48.500
                        "
"
                        Chevrolet D-MAX DOHC 2.4                    ",2015,   153000 Kms. · Quito                 ,"
                         20.500
                        "
"
                        Nissan X-Trail                    ",2013,   162000 Kms. · Quito                 ,"
                         13.500
                        "
"
                        Chevrolet Captiva Sport                    ",2011,   97365 Kms. · Quito                 ,"
                         16.200
                        "
"
                        Land Rover Freelander LR2                    ",2010,   83009 Kms. · Quito                 ,"
                         36.000
                        "
"
                        Ford RAPTOR                    ",2018,   148000 Kms. · Quito                 ,"
                         85.500
                        "
"
                        Chevrolet SILVERADO LT                    ",2003,   248000 Kms. · Quito                 ,"
                         10.200
                        "
"
                        Chevrolet Silverado                    ",2003,   248000 Kms. · Quito                 ,"
                         10.200
                        "
"
                        Nissan Pathfinder                    ",2000,   309815 Kms. · Quito                 ,"
                         14.900
                        "
"
                        Toyota Highlander Limited Hibrido                    ",2010,   153600 Kms. · Quito                 ,"
                         14.500
                        "
"
                        Renault Logan                    ",2010,   195000 Kms. · Quito                 ,"
                         8.300
                        "
"
                        Toyota Hilux CS 4x2                    ",2006,   190000 Kms. · Quito                 ,"
                         13.900
                        "
"
                        Chevrolet LUV CD                    ",1977,   62000 Kms. · Quito                 ,"
                         6.000
                        "
"
                        Chevrolet Cruze                    ",2016,   130000 Kms. · Quito                 ,"
                         17.900
                        "
"
                        Chevrolet D-MAX CRDI 2.5 CD 4X2 TM DIESEL                    ",2023,   0 Kms. · Quito                 ,"
                         28.990
                        "
"
                        Nissan Frontier                    ",2018,   67000 Kms. · Quito                 ,"
                         32.900
                        "
"
                        Audi A4 1.8T                    ",2006,   180000 Kms. · Quito                 ,"
                         13.900
                        "
"
                        Suzuki GRAN VITARA SZ NEXT                    ",2016,   187000 Kms. · Quito                 ,"
                         15.800
                        "
"
                        Ford Escape S Plus                    ",2018,   50000 Kms. · Quito                 ,"
                         27.500
                        "
"
                        Volkswagen Tiguan                    ",2019,   53000 Kms. · Quito                 ,"
                         31.500
                        "
"
                        JAC T8 PRO                    ",2023,   1 Kms. · Quito                 ,"
                         34.990
                        "
"
                        Jetour X70 PLUS                    ",2023,   1 Kms. · Quito                 ,"
                         30.990
                        "
"
                        Hyundai Tucson                    ",2009,   252000 Kms. · Quito                 ,"
                         12.400
                        "
"
                        Ford F150                    ",1994,   170000 Kms. · Quito                 ,"
                         11.900
                        "
"
                        Chery Chery Van                    ",2011,   319000 Kms. · Quito                 ,"
                         7.600
                        "
"
                        Audi A3                    ",2019,   20301 Kms. · Quito                 ,"
                         33.900
                        "
"
                        Ram 700 LARAMIE                    ",2023,   1 Kms. · Quito                 ,"
                         17.990
                        "
"
                        Kia Soul                    ",2012,   144000 Kms. · Quito                 ,"
                         13.800
                        "
"
                        Kia PICANTO LX                    ",2018,   74957 Kms. · Quito                 ,"
                         11.900
                        "
"
                        Nissan Sentra 2.0 MT                    ",2013,   130962 Kms. · Quito                 ,"
                         12.300
                        "
"
                        Nissan Versa                    ",2014,   146500 Kms. · Quito                 ,"
                         11.800
                        "
"
                        Toyota Prado 5P                    ",2009,   170600 Kms. · Quito                 ,"
                         22.500
                        "
"
                        Kia Stonic                    ",2022,   14563 Kms. · Quito                 ,"
                         20.000
                        "
"
                        Mercedes Benz ML 350 4matic                    ",2006,   158316 Kms. · Quito                 ,"
                         24.000
                        "
"
                        Dodge Ram 2500                    ",2008,   70000 Kms. · Quito                 ,"
                         26.900
                        "
