name,year,km,price
"
                        Fiat Fullback                    ",2017,   98000 Kms. · Quito                 ,"
                         26.900
                        "
"
                        Chevrolet Luv Dmax CS V6 4x4                    ",2007,   116000 Kms. · Quito                 ,"
                         16.900
                        "
"
                        Chevrolet LUV Dmax CD V6                    ",2007,   116000 Kms. · Quito                 ,"
                         16.900
                        "
"
                        Chevrolet D-MAX 4X2 CS                    ",2022,   27000 Kms. · Quito                 ,"
                         24.900
                        "
"
                        Kia NIRO Hibrido                    ",2019,   70000 Kms. · Quito                 ,"
                         21.900
                        "
"
                        Kia Rio                    ",2020,   26000 Kms. · Quito                 ,"
                         17.600
                        "
"
                        Great Wall M4                    ",2019,   89000 Kms. · Quito                 ,"
                         13.900
                        "
"
                        Chery Arrizo 3                    ",2021,   40000 Kms. · Quito                 ,"
                         12.400
                        "
"
                        Volkswagen Tiguan                    ",2019,   57000 Kms. · Quito                 ,"
                         30.900
                        "
"
                        Kia RIO EX                    ",2020,   26000 Kms. · Quito                 ,"
                         17.600
                        "
"
                        Pontiac Vibe                    ",2008,   117000 Kms. · Quito                 ,"
                         9.900
                        "
"
                        Ford F150 SC 4X2                    ",2012,   128748 Kms. · Quito                 ,"
                         19.900
                        "
"
                        Ford F150                    ",2012,   128748 Kms. · Quito                 ,"
                         19.900
                        "
"
                        Hyundai VENUE                    ",2020,   200 Kms. · Quito                 ,"
                         22.600
                        "
"
                        Dodge RAM 700 Laramie                    ",2022,   11000 Kms. · Quito                 ,"
                         17.400
                        "
"
                        Dodge Ram                    ",2022,   11000 Kms. · Quito                 ,"
                         17.400
                        "
"
                        Chevrolet Spark GT                    ",2020,   14000 Kms. · Quito                 ,"
                         13.400
                        "
"
                        Chevrolet Spark                    ",2020,   14000 Kms. · Quito                 ,"
                         13.400
                        "
"
                        Nissan X-Trail                    ",2012,   99000 Kms. · Quito                 ,"
                         16.400
                        "
"
                        Mazda CX-5 Full                    ",2023,   8000 Kms. · Quito                 ,"
                         36.400
                        "
"
                        Mazda CX-5                    ",2023,   8000 Kms. · Quito                 ,"
                         36.400
                        "
"
                        Kia SPORTAGE GT LINE AT                    ",2019,   48000 Kms. · Quito                 ,"
                         31.400
                        "
"
                        Suzuki Grand Vitara SZ                    ",2019,   39000 Kms. · Quito                 ,"
                         16.400
                        "
"
                        Kia NIRO                    ",2019,   70000 Kms. · Quito                 ,"
                         21.900
                        "
"
                        Chevrolet D-Max 4x4 CD                    ",2014,   189045 Kms. · Cuenca                 ,"
                         25.900
                        "
"
                        Volkswagen Escarabajo                    ",2011,   76324 Kms. · Cuenca                 ,"
                         16.600
                        "
"
                        Jeep Cherokee                    ",2019,   55000 Kms. · Cuenca                 ,"
                         34.500
                        "
"
                        Ford Bronco                    ",1977,   44683 Kms. · Cuenca                 ,"
                         29.600
                        "
"
                        Kia Sorento                    ",2020,   20564 Kms. · Cuenca                 ,"
                         32.900
                        "
"
                        Ford F150 XLT SC                    ",2015,   122066 Kms. · Cuenca                 ,"
                         35.600
                        "
"
                        GMC Sierra                    ",2010,   107553 Kms. · Cuenca                 ,"
                         23.900
                        "
"
                        Audi Q5 Hybrid                    ",2012,   123143 Kms. · Cuenca                 ,"
                         26.900
                        "
"
                        Hyundai New Santa Fe                    ",2019,   24519 Kms. · Cuenca                 ,"
                         33.900
                        "
"
                        Ford Edge                    ",2018,   51116 Kms. · Cuenca                 ,"
                         37.900
                        "
"
                        Mazda 323 Hei                    ",1991,   101472 Kms. · Cuenca                 ,"
                         14.900
                        "
"
                        Nissan X-Trail Advance                    ",2019,   50369 Kms. · Cuenca                 ,"
                         32.900
                        "
"
                        Volkswagen Escarabajo                    ",1977,   18877 Kms. · Cuenca                 ,"
                         5.000
                        "
"
                        Hyundai TUCSON TL                    ",2016,   106586 Kms. · Cuenca                 ,"
                         25.900
                        "
"
                        Ford Explorer XLT                    ",2003,   241173 Kms. · Cuenca                 ,"
                         8.400
                        "
"
                        Chevrolet Sail                    ",2022,   13466 Kms. · Cuenca                 ,"
                         16.300
                        "
"
                        Ford Sport Track                    ",2007,   213292 Kms. · Cuenca                 ,"
                         11.900
                        "
"
                        Ford Explorer XLT                    ",2016,   92714 Kms. · Cuenca                 ,"
                         39.900
                        "
"
                        Ford F150 FX4                    ",2015,   122066 Kms. · Cuenca                 ,"
                         35.600
                        "
"
                        Toyota RAV4 3p                    ",2018,   87079 Kms. · Cuenca                 ,"
                         29.900
                        "
"
                        Ford Edge Limited                    ",2018,   51116 Kms. · Cuenca                 ,"
                         38.900
                        "
"
                        Chevrolet D-MAX CRDI 3.0 CD 4X4                    ",2014,   147381 Kms. · Cuenca                 ,"
                         25.900
                        "
"
                        Mitsubishi Outlander Sport                    ",2017,   49141 Kms. · Cuenca                 ,"
                         25.600
                        "
"
                        Kia SPORTAGE SL                    ",2019,   45593 Kms. · Cuenca                 ,"
                         24.300
                        "
"
                        Toyota RAV 4                    ",2018,   87079 Kms. · Cuenca                 ,"
                         29.900
                        "
"
                        Chevrolet N300 MAX CARGO 1.2L TM AC                    ",2019,   75347 Kms. · Cuenca                 ,"
                         12.900
                        "
"
                        Chevrolet Spark                    ",2012,   97792 Kms. · Cuenca                 ,"
                         8.900
                        "
"
                        Nissan X-Trail Advance                    ",2015,   115256 Kms. · Cuenca                 ,"
                         24.900
                        "
"
                        Ford Edge ST                    ",2018,   51116 Kms. · Cuenca                 ,"
                         38.900
                        "
"
                        Toyota 4 Runner SR5                    ",2008,   181138 Kms. · Cuenca                 ,"
                         24.300
                        "
"
                        Ford F150 XLT CD                    ",2015,   122066 Kms. · Cuenca                 ,"
                         35.900
                        "
"
                        Volkswagen Escarabajo                    ",2011,   76324 Kms. · Cuenca                 ,"
                         16.600
                        "
"
                        GMC Sierra Hibrido                    ",2010,   107553 Kms. · Cuenca                 ,"
                         23.900
                        "
"
                        Suzuki Grand Vitara SZ                    ",2016,   113222 Kms. · Cuenca                 ,"
                         16.900
                        "
"
                        Great Wall WINGLE 7 2.0 CD 4X4 DIESEL                    ",2022,   34000 Kms. · Cuenca                 ,"
                         26.900
                        "
"
                        Toyota Yaris                    ",2020,   47000 Kms. · Guayaquil                 ,"
                         16.300
                        "
"
                        Chery Tiggo 2                    ",2019,   140000 Kms. · Guayaquil                 ,"
                         12.800
                        "
"
                        Hyundai Sonata Hybrid                    ",2017,   58200 Kms. · Guayaquil                 ,"
                         22.500
                        "
"
                        BMW 218i                    ",2021,   28000 Kms. · Guayaquil                 ,"
                         43.000
                        "
"
                        Volkswagen Amarok TDI                    ",2017,   127000 Kms. · Guayaquil                 ,"
                         27.500
                        "
"
                        BMW X3 2.5SI                    ",2009,   205000 Kms. · Guayaquil                 ,"
                         18.500
                        "
"
                        Nissan X-Trail Classic                    ",2014,   250000 Kms. · Guayaquil                 ,"
                         14.900
                        "
"
                        Kia NIRO Hibrido                    ",2017,   144730 Kms. · Guayaquil                 ,"
                         17.900
                        "
"
                        Renault Logan Dynamique                    ",2018,   182307 Kms. · Guayaquil                 ,"
                         11.500
                        "
"
                        Ford Explorer XLT                    ",2016,   108000 Kms. · Guayaquil                 ,"
                         42.500
                        "
"
                        Mazda BT-50 4x4                    ",2014,   325116 Kms. · Guayaquil                 ,"
                         17.000
                        "
"
                        Volkswagen Jetta                    ",2018,   41000 Kms. · Guayaquil                 ,"
                         18.600
                        "
"
                        Kia RIO EX                    ",2019,   53244 Kms. · Guayaquil                 ,"
                         16.990
                        "
"
                        Chevrolet Tracker                    ",2018,   94208 Kms. · Guayaquil                 ,"
                         17.890
                        "
"
                        Kia Stonic                    ",2021,   11518 Kms. · Guayaquil                 ,"
                         20.590
                        "
"
                        Kia SPORTAGE SL                    ",2021,   36649 Kms. · Guayaquil                 ,"
                         24.590
                        "
"
                        Kia PICANTO LX                    ",2018,   86000 Kms. · Guayaquil                 ,"
                         11.590
                        "
"
                        Chevrolet Captiva Premier                    ",2020,   50742 Kms. · Guayaquil                 ,"
                         23.990
                        "
"
                        Chevrolet Spark GT                    ",2020,   106295 Kms. · Guayaquil                 ,"
                         11.890
                        "
"
                        Mazda CX-3 ENTRY                    ",2019,   89583 Kms. · Guayaquil                 ,"
                         20.990
                        "
"
                        Kia Sportage R                    ",2019,   98609 Kms. · Guayaquil                 ,"
                         22.990
                        "
"
                        Kia RIO LX                    ",2021,   20032 Kms. · Guayaquil                 ,"
                         17.990
                        "
"
                        Kia Soul                    ",2020,   56000 Kms. · Guayaquil                 ,"
                         18.990
                        "
"
                        Kia Soul                    ",2020,   58600 Kms. · Guayaquil                 ,"
                         18.990
                        "
"
                        Kia SPORTAGE R GTI                    ",2019,   58000 Kms. · Guayaquil                 ,"
                         26.990
                        "
"
                        Kia PICANTO LX                    ",2021,   51000 Kms. · Guayaquil                 ,"
                         13.990
                        "
"
                        Ford RANGER XLS                    ",2018,   82000 Kms. · Guayaquil                 ,"
                         26.000
                        "
"
                        Volkswagen Amarok TDI                    ",2011,   190000 Kms. · Guayaquil                 ,"
                         18.800
                        "
