name,model,version,year,km,city,province,price
Jeep,Cherokee,Classic  4X4,2006,183000 km,Ibarra | ,Imbabura,u$s13.900
Kia,Cerato R,1.6L Full,2015,105000 km,Quito | ,Pichincha,u$s15.000
Mazda,BT-50,2.5L 4x2,2011,385000 km,Esmeraldas | ,Esmeraldas,u$s16.000
Chevrolet,Grand Vitara,3P Sport 4x4,2014,108000 km,Quito | ,Pichincha,u$s15.500
King Long,Van Kingo,2.8L Diesel 14P,2020,72000 km,Quito | ,Pichincha,u$s25.000
Skoda,Fabia Combi,1.6L Combi,2011,159000 km,Lago Agrio | ,Sucumbios,u$s10.300
Mazda,2600,"Chasis 4x4 V6,2.6i S 2 3",2005,171802 km,Cuenca | ,Azuay,u$s14.800
Toyota,Prius 4G,1.8 CVT,2013,100000 km,Quito | ,Pichincha,u$s14.000
Volkswagen,Gol,1.8 Confort,2006,250000 km,Ambato | ,Tungurahua,u$s7.300
Kia,Rio,xcite,2010,900000 km,Machala | ,El Oro,u$s21.000
Great Wall,C30 ,Luxury,2019,40700 km,Cuenca | ,Azuay,u$s13.500
Toyota,Rav4,2.0L 4x2,2008,160000 km,Guayaquil | ,Guayas,u$s16.000
Hyundai,Accent,1.6 Ac,2018,39000 km,Portoviejo | ,Manabí,u$s16.500
Nissan,Frontier,4x2 CD,2010,255300 km,Riobamba | ,Chimborazo,u$s12.700
Lada,Samara,"5p 21090 L4,1.0,8v S 2 1",2006,100000 km,Quito | ,Pichincha,u$s4.200
Renault,Koleos,4x2 CVT,2012,148000 km,Quito | ,Pichincha,u$s13.800
Dongfeng,Cityvan,1.5L 11P,2016,220928 km,Guayaquil | ,Guayas,u$s10.500
Ford,Ranger,2.2 RC 4x2 SWB chasis,2002,327550 km,Quito | ,Pichincha,u$s8.500
Toyota,Yaris Sport ,1.5L,2005,190000 km,Quito | ,Pichincha,u$s11.000
Nissan,Pathfinder,3.5L Advance,2005,260000 km,Quito | ,Pichincha,u$s12.500
Chevrolet,D-Max,3.0L CD 4x4 Full,2016,130000 km,Quito | ,Pichincha,u$s30.000
Dongfeng,Funvan,1.3L 11P,2016,206193 km,Guayaquil | ,Guayas,u$s6.500
Toyota,Land Cruiser Prado,"Chasis Largol6,4.0 S 1 2",2008,285000 km,Puerto Quito | ,Pichincha,u$s19.000
Chevrolet,Grand Vitara,5P Ac,2009,197131 km,Guaranda | ,Bolivar,u$s12.500
Chevrolet,Blazer,"S-10 4x4 V6,4.3i,12v A 1 2",2003,260000 km,Cuenca | ,Azuay,u$s9.000
Chevrolet,Sail Sedán,1.5L A/C,2018,27590 km,Riobamba | ,Chimborazo,u$s14.000
Mazda,2 Sedan,1.5L Sport MT,2020,14778 km,Alausi | ,Chimborazo,u$s17.400
Skoda,Fabia,1.6 MPI,2011,159000 km,Quito | ,Pichincha,u$s9.500
Nissan,Tiida Sedan,Advance,2012,303456 km,Santo Domingo De Los Tsáchilas | ,Santo Domingo de los Tsáchilas,u$s22.500
Kia,Sorento,3.5L 4X4 AT,2012,136000 km,Quito | ,Pichincha,u$s19.500
Chevrolet,Grand Vitara,5P 4x4 2.0i,2012,195000 km,Guayaquil | ,Guayas,u$s12.800
Mitsubishi,Montero Blister,Ltd,2004,140000 km,Cuenca | ,Azuay,u$s18.200
Chevrolet,Tracker,LT Aut,2014,89000 km,Quito | ,Pichincha,u$s16.900
Skoda,Felicia,"Glx A-A L4,1.6 S 2 1",1997,59000 km,Quito | ,Pichincha,u$s5.100
Kia,Sorento,2.4L 4X2 TM,2014,85000 km,Mejia | ,Pichincha,u$s21.500
Chevrolet,Captiva Sport,3.0L Aut 4x4,2011,58000 km,Quito | ,Pichincha,u$s20.000
Kia,Cerato Forte,1.6 Full,2010,90000 km,Quito | ,Pichincha,u$s13.800
BMW,X5,xDrive 30d,2008,196000 km,Santo Domingo De Los Tsáchilas | ,Santo Domingo de los Tsáchilas,u$s4.500
Chevrolet,Aveo Emotion,1.6L GLS,2009,87000 km,Quito | ,Pichincha,u$s6.300
Chevrolet,Captiva Sport,2.4L Aut,2014,115000 km,Quito | ,Pichincha,u$s17.500
